Case_ID,Theft_Date,Report_Date,Car_Brand,Car_Model,Year_of_Manufacture,Car_Type,Fuel_Type,Color,Registered_State,Registered_City,Location_of_Theft,Time_of_Theft,Police_Station,Is_Recovered,Recovery_Date,Suspect_Identified,Number_of_Prev_Thefts,GPS_Installed,CCTV_Availability,Insurance_Status,Owner_Age_Group
1,2023-10-20,2023-10-23,Renault,Kwid,2021,Pickup,CNG,Blue,Delhi,New Delhi,Area-41,Morning,PS-41,No,,No,2,No,Yes,No Insurance,26-40
2,2023-07-03,2023-07-10,Tata,Nexon,2005,Sedan,Diesel,Black,Delhi,West Delhi,Area-38,Evening,PS-41,No,,No,0,No,No,Valid,41-60
3,2023-03-30,2023-03-30,Nissan,Magnite,2008,Hatchback,CNG,Yellow,Maharashtra,Mumbai,Area-9,Night,PS-15,No,,No,0,No,No,Valid,60+
4,2023-09-05,2023-09-10,Hyundai,Verna,2009,Hatchback,CNG,Green,Delhi,West Delhi,Area-15,Afternoon,PS-25,No,,No,1,No,Yes,Expired,60+
5,2023-05-09,2023-05-14,Honda,Amaze,2008,SUV,CNG,Green,Delhi,New Delhi,Area-23,Evening,PS-23,No,,No,1,No,Yes,Valid,18-25
6,2023-05-18,2023-05-25,Tata,Altroz,2014,Hatchback,Petrol,Black,West Bengal,Kolkata,Area-39,Night,PS-31,No,,No,0,Yes,No,Expired,60+
7,2023-02-06,2023-02-13,Kia,Sonet,2023,Pickup,Petrol,Red,Madhya Pradesh,Gwalior,Area-39,Morning,PS-89,No,,No,2,No,Yes,Expired,26-40
8,2023-11-25,2023-11-29,Honda,Jazz,2019,Pickup,Diesel,Yellow,Delhi,New Delhi,Area-9,Morning,PS-33,No,,No,0,No,Yes,Valid,26-40
9,2023-08-12,2023-08-12,Ford,Figo,2008,MUV,Electric,Black,Uttar Pradesh,Lucknow,Area-18,Evening,PS-86,No,,No,1,Yes,Yes,No Insurance,41-60
10,2023-06-26,2023-06-29,Maruti,Ertiga,2021,Hatchback,Petrol,White,Delhi,New Delhi,Area-19,Morning,PS-34,No,,No,2,No,No,Valid,41-60
11,2023-10-11,2023-10-13,Tata,Nexon,2006,Sedan,Diesel,Silver,Uttar Pradesh,Kanpur,Area-38,Evening,PS-86,No,,Yes,1,No,No,Valid,41-60
12,2023-10-04,2023-10-10,Mahindra,Scorpio,2022,MUV,Petrol,Red,Karnataka,Bangalore,Area-26,Evening,PS-29,No,,No,0,No,No,Valid,60+
13,2023-05-31,2023-06-05,Ford,Aspire,2010,MUV,Electric,Green,West Bengal,Kolkata,Area-34,Evening,PS-97,No,,No,1,Yes,Yes,Valid,41-60
14,2023-03-12,2023-03-19,Renault,Kwid,2006,Convertible,Petrol,Red,Maharashtra,Nagpur,Area-37,Evening,PS-83,Yes,2023-03-28,Yes,2,No,Yes,No Insurance,26-40
15,2023-06-23,2023-06-23,Mahindra,Thar,2011,Convertible,CNG,Gray,Rajasthan,Jaipur,Area-12,Night,PS-67,No,,Yes,2,No,Yes,Valid,41-60
16,2023-08-27,2023-09-01,Kia,Sonet,2007,Sedan,Diesel,Black,West Bengal,Durgapur,Area-29,Night,PS-95,No,,No,0,Yes,No,No Insurance,26-40
